date,open,high,low,close
2024-05-02,3700.23,3870.24,3683.62,3865.47998
2024-05-03,4009.96,4023.43,3922.86,3971.29004
2024-05-06,3982.25,4021.69,3952.86,4007.78003
2024-05-07,4002.76,4005.32,3909.93,3922.54004
2024-05-08,3921.1,3962.63,3859.55,3872.01001
2024-05-09,3874.44,3955.97,3868.67,3947.40991
2024-05-10,3975.75,4002.66,3899.83,3962.32007
2024-05-13,3925.19,4031.09,3906.36,4018.68994
2024-05-14,4072.89,4111.56,4038.68,4041.44995
2024-05-16,4091.59,4097.82,4024.42,4072.1499
2024-05-17,4135.36,4162.51,4073.61,4112.58984
2024-05-20,4124.36,4155.87,4111.51,4135.37988
2024-05-21,4079.11,4087.81,3963.82,3980.62988
2024-05-22,3987.62,4036.7,3957.18,3992.59009
2024-05-23,3972.81,3972.81,3882.45,3896.18994
2024-05-24,3865.17,3890.37,3780.16,3799.46997
2024-05-27,3801.72,3876.44,3751.13,3864.47998
2024-05-28,3868.15,3921.2,3839.03,3854.57007
2024-05-29,3821.11,3823.96,3747.54,3765.23999
2024-05-30,3752.11,3809.28,3735.63,3752.76001
2024-05-31,3814.42,3847.12,3684.85,3690.76001
2024-06-03,3744.43,3820.06,3740.46,3784.04004
2024-06-04,3756.14,3813.27,3756.14,3796.16992
2024-06-05,3797.23,3867.64,3786.23,3807.72998
2024-06-06,3859.91,3886.31,3813.28,3840.65991
2024-06-07,3855.81,3855.81,3755.79,3772.46997
2024-06-11,3723.44,3772.83,3696.64,3755.41992
2024-06-12,3724.16,3747.85,3682.51,3691.28003
2024-06-13,3743.45,3755.36,3696.78,3739.13989
2024-06-14,3726.97,3735.1,3697.13,3707.62012
2024-06-17,3686.11,3739.72,3666.04,3709.3501
2024-06-18,3718.85,3751.66,3682.05,3697.20996
2024-06-19,3736.26,3835.05,3728.75,3832.32007
2024-06-20,3838.32,3838.32,3753.25,3767.87988
2024-06-21,3720.72,3734.62,3674.31,3701.3999
2024-06-24,3671.57,3678.56,3619.76,3677.51001
2024-06-25,3689.43,3701.59,3624.48,3655.45996
2024-06-26,3639.75,3709.21,3634.27,3689.67993
2024-06-27,3666.5,3668.67,3580.68,3588.86011
2024-06-28,3546.7,3614.55,3546.7,3554.44995
2024-07-02,3538.13,3596.2,3521.5,3539.12988
2024-07-03,3564.64,3638.23,3553.24,3626.92993
2024-07-04,3692.42,3710.87,3634.59,3649.66992
2024-07-05,3649.82,3666.8,3577.29,3596.80005
2024-07-08,3589.7,3621.36,3545.76,3566.62988
2024-07-09,3562.73,3624.56,3539.6,3600.8999
2024-07-10,3639.26,3679.96,3596.58,3600.48999
2024-07-11,3637.7,3703.7,3633.46,3696.48999
2024-07-12,3746.43,3787.33,3736.31,3782.08008
2024-07-15,3736.34,3747.86,3661.1,3672.58008
2024-07-16,3626.02,3641.16,3600.35,3622.84009
2024-07-17,3638.92,3678.67,3617.08,3640.87988
2024-07-18,3598.75,3640.12,3571.76,3613.12988
2024-07-19,3571.22,3589.28,3527.52,3536.54004
2024-07-22,3550.52,3625.8,3532.28,3610.70996
2024-07-23,3634.67,3639.61,3537.28,3545.09009
2024-07-24,3539.9,3561.64,3469.42,3491.19995
2024-07-25,3461.91,3467.24,3408.05,3421.26001
2024-07-26,3443.65,3476.47,3410.75,3443.72998
2024-07-29,3491.95,3509.46,3455.01,3466.6001
2024-07-30,3464.69,3464.69,3401.82,3414.04004
2024-07-31,3419.78,3535.14,3411.49,3516.87012
2024-08-01,3503.51,3518.85,3461.8,3476.58008
2024-08-02,3417.5,3435.91,3356.8,3385.6001
2024-08-05,3333.7,3426.32,3272.06,3339.41992
2024-08-06,3392.21,3409.6,3322.3,3342.52002
2024-08-07,3361.6,3419.36,3346.18,3382.41992
2024-08-08,3346.91,3422.3,3317.85,3366.67993
2024-08-09,3436.69,3483.23,3429.05,3436.80005
2024-08-12,3438.01,3448.67,3392.7,3429.84009
2024-08-13,3428.85,3453.13,3399.01,3429.68994
2024-08-14,3447.65,3453.13,3384.28,3395.69995
2024-08-15,3371.9,3434.14,3347.21,3384.37988
2024-08-16,3437.54,3469.42,3416.76,3459.09009
2024-08-19,3516.36,3563.68,3511.14,3517.09009
2024-08-20,3556.74,3556.74,3484.92,3498.08008
2024-08-21,3401.96,3437.84,3378.65,3434.38989
2024-08-22,3490.29,3513.66,3436.98,3508.61011
2024-08-23,3451.18,3474.96,3435.28,3468.93994
2024-08-26,3490.43,3522.48,3479.4,3502.95996
2024-08-27,3455.61,3501.7,3438.76,3501.29004
2024-08-28,3478.9,3488.3,3425.73,3445.45996
2024-08-29,3388.7,3467.11,3365.47,3461.21997
2024-08-30,3476.13,3614.68,3470.22,3560.61011
2024-09-02,3539.86,3539.86,3477.95,3486.3999
2024-09-03,3486.02,3534.69,3472.02,3496.48999
2024-09-04,3467.45,3496.4,3439.94,3482.84009
2024-09-05,3479.47,3505.65,3461.11,3487.80005
2024-09-09,3450.98,3454.45,3410.82,3436.75
2024-09-10,3448.75,3467.59,3403.55,3450.72998
2024-09-11,3416.76,3457.0,3416.76,3450.91992
2024-09-12,3479.79,3508.06,3473.66,3475.25
2024-09-13,3477.38,3528.77,3475.52,3479.80005
2024-09-16,3454.69,3497.45,3422.82,3497.44995
2024-09-17,3482.67,3545.31,3472.9,3536.57007
2024-09-19,3539.08,3669.72,3528.21,3651.56006
2024-09-20,3649.32,3744.31,3638.47,3703.84009
2024-09-23,3699.23,3761.17,3688.69,3698.27002
2024-09-24,3785.98,3916.69,3755.15,3915.58008
2024-09-25,4063.51,4063.51,3907.06,3924.44995
2024-09-26,3983.38,4222.65,3964.86,4209.70996
2024-09-27,4340.07,4516.58,4308.47,4453.24023
2024-09-30,4648.26,4841.82,4539.56,4751.81006
2024-10-02,4840.08,5252.53,4840.08,5157.08008
2024-10-03,5117.37,5118.05,4773.13,4978.64014
2024-10-04,4941.96,5233.98,4885.22,5227.12988
2024-10-07,5298.43,5451.53,5236.09,5386.47998
2024-10-08,5293.05,5293.05,4611.45,4695.81006
2024-10-09,4819.86,4908.88,4502.93,4640.75
2024-10-10,4772.82,4862.17,4675.69,4736.1001
2024-10-14,4702.61,4723.73,4512.14,4668.18018
2024-10-15,4654.12,4682.83,4405.29,4450.9502
2024-10-16,4391.14,4482.95,4368.95,4402.37012
2024-10-17,4449.39,4547.31,4319.17,4349.77002
2024-10-18,4337.24,4661.64,4329.92,4600.8501
2024-10-21,4580.65,4637.44,4483.22,4491.8999
2024-10-22,4508.46,4565.24,4476.88,4521.62988
2024-10-23,4527.01,4669.85,4506.28,4605.62012
2024-10-24,4543.32,4570.36,4473.35,4483.99023
2024-10-25,4492.6,4593.12,4492.6,4538.02979
2024-10-28,4563.74,4601.07,4516.73,4574.06982
2024-10-29,4648.47,4701.0,4601.52,4623.83984
2024-10-30,4581.18,4610.33,4491.61,4513.68018
2024-10-31,4527.34,4578.4,4499.15,4499.1499
2024-11-01,4504.48,4548.66,4454.93,4483.91016
2024-11-04,4512.24,4554.36,4501.09,4532.18018
2024-11-05,4486.17,4694.48,4486.17,4693.8501
2024-11-06,4646.37,4667.9,4525.36,4574.5
2024-11-07,4532.54,4687.5,4508.4,4677.64014
2024-11-08,4786.41,4838.38,4658.69,4668.25977
2024-11-11,4524.49,4670.15,4524.49,4651.70996
2024-11-12,4627.54,4680.41,4442.54,4456.85986
2024-11-13,4393.88,4461.15,4363.62,4455.66992
2024-11-14,4388.38,4463.34,4294.34,4318.31982
2024-11-15,4322.0,4394.32,4288.01,4327.83984
2024-11-18,4379.19,4405.57,4318.19,4341.52979
2024-11-19,4381.92,4413.08,4341.87,4395.04004
2024-11-20,4372.37,4436.01,4364.57,4413.08008
2024-11-21,4393.04,4417.09,4347.05,4358.1499
2024-11-22,4366.18,4400.54,4226.58,4246.2002
2024-11-25,4275.4,4287.7,4195.27,4235.31006
2024-11-26,4203.9,4265.98,4203.9,4221.99023
2024-11-27,4233.08,4394.02,4188.74,4374.43994
2024-11-28,4379.81,4379.81,4301.36,4307.75
2024-11-29,4309.31,4431.75,4304.34,4353.54981
2024-12-02,4355.64,4425.39,4343.37,4405.9502
2024-12-03,4413.91,4433.95,4342.7,4417.99023
2024-12-04,4428.08,4444.9,4381.72,4404.04004
2024-12-05,4366.96,4388.43,4347.1,4370.22022
2024-12-06,4387.48,4472.69,4352.64,4464.6499
2024-12-09,4429.05,4664.33,4416.38,4656.79981
2024-12-10,4854.34,4854.34,4588.16,4591.93994
2024-12-11,4613.12,4646.55,4511.77,4531.58008
2024-12-12,4551.33,4659.95,4521.73,4600.81982
2024-12-13,4554.23,4567.79,4458.21,4479.6001
2024-12-16,4480.32,4503.39,4391.73,4414.7002
2024-12-17,4387.62,4472.97,4360.96,4389.08008
2024-12-18,4453.89,4489.4,4432.4,4468.8501
2024-12-19,4393.09,4469.47,4388.02,4439.47022
2024-12-20,4432.72,4487.66,4429.6,4444.18994
2024-12-23,4481.46,4497.18,4437.59,4457.8501
2024-12-24,4468.71,4528.57,4459.54,4507.6499
2024-12-27,4524.99,4578.15,4517.96,4538.58984
2024-12-30,4546.01,4557.06,4484.78,4500.6001
2024-12-31,4484.54,4507.55,4468.11,4468.10986
2025-01-02,4436.74,4447.02,4347.09,4357.52979
2025-01-03,4383.53,4453.29,4337.98,4403.12012
2025-01-06,4432.58,4447.96,4377.26,4395.08008
2025-01-07,4352.61,4403.19,4275.81,4354.79981
2025-01-08,4351.86,4371.32,4252.04,4307.3999
2025-01-09,4304.76,4367.61,4296.09,4311.54004
2025-01-10,4335.01,4360.09,4251.77,4260.81982
2025-01-13,4222.99,4238.0,4168.04,4221.91992
2025-01-14,4227.99,4380.41,4227.43,4352.04004
2025-01-15,4329.76,4387.1,4315.24,4363.79004
2025-01-16,4423.63,4489.47,4361.22,4417.37012
2025-01-17,4410.14,4492.85,4392.29,4479.18994
2025-01-20,4554.6,4638.85,4542.63,4595.2002
2025-01-21,4650.62,4722.07,4608.0,4693.72022
2025-01-22,4644.5,4669.78,4560.61,4581.08984
2025-01-23,4615.0,4659.78,4496.56,4515.47998
2025-01-24,4545.34,4675.81,4538.72,4657.60986
2025-01-27,4706.36,4751.66,4667.56,4687.33984
2025-01-28,4723.61,4731.86,4678.52,4723.62988
2025-02-03,4699.47,4741.5,4572.6,4737.45996
2025-02-04,4828.96,4981.91,4821.49,4977.37988
2025-02-05,4975.78,4975.78,4845.33,4930.2002
2025-02-06,4926.54,5059.38,4918.92,5059.37988
2025-02-07,5051.92,5203.93,5038.31,5150.3501
2025-02-10,5187.88,5296.22,5187.11,5286.66016
2025-02-11,5307.29,5307.29,5133.62,5142.31006
2025-02-12,5214.32,5281.72,5155.0,5281.18018
2025-02-13,5321.63,5503.4,5201.34,5235.27979
2025-02-14,5310.37,5526.22,5300.01,5526.22022
2025-02-17,5599.12,5656.44,5394.26,5499.25977
2025-02-18,5519.19,5696.46,5494.27,5639.04981
